(8, 10)
(11, 3)
(9, 5)
(5, -11)
(-7, 5)
(-4, 8)
(-4, -8)
(11, -9)
(7, 1)
(1, -1)
(0, 22)
(-5, 3)
(-4, 4)
(7, -3)
(-5, -11)
(-13, -9)
(-2, 0)
(8, 6)
(-11, 3)
(-2, -4)
(2, 0)
(2, -2)
(1, 9)
(-1, 9)
(-4, -6)
(-5, 5)
(0, -2)
(13, -1)
(14, -6)
(-5, -7)
(-5, 7)
(0, -10)
(1, 1)
(3, 9)
(-8, 0)
(16, 2)
(3, -3)
(7, -7)
(-4, -10)
(-9, 1)
(9, -3)
(-13, -7)
(-9, -3)
(-2, 6)
(-16, 6)
(3, 1)
(-8, -10)
(-3, 3)
(-10, 10)
(-6, -6)
(-5, 9)
(-10, -4)
(-2, 10)
(-2, 2)
(4, -8)
(-1, 15)
(-1, -3)
(12, -2)
(5, 7)
(7, -19)
(5, 15)
(-5, -1)
(12, -4)
(11, 1)
(0, 4)
(7, 3)
(16, -2)
(4, 4)
(-1, -1)
(4, 8)
(9, 3)
(-2, -14)
(-5, -3)
(0, 10)
(6, 0)
(7, 9)
(-10, 22)
(3, -9)
(1, -11)
(-6, 0)
(5, -9)
(-3, -7)
(-8, 14)
(17, 5)
(-22, 4)
(-10, -6)
(-1, -11)
(1, -9)
(2, 4)
(0, 2)
(-7, -3)
(-16, -6)
(19, 3)
(6, 2)
(9, -9)
(9, -5)
(-5, 1)
(-3, -19)
(6, -8)
(9, -1)
(-3, -9)
(-2, -12)
(-1, 5)
(4, -2)
(-5, -5)
(8, 12)
(-3, -3)
(-3, 5)
(17, -3)
(-8, 4)
(17, 1)
(6, -10)
(-13, -5)
(-6, 10)
(-10, -2)
(10, -10)
(1, 7)
(12, 4)
(-2, 8)
(-4, 0)
(1, -5)
(10, -16)
(-10, 0)
(2, 6)
(-18, -10)
(10, 0)
(1, 3)
(-7, 7)
(2, 12)
(10, -4)
(1, 5)
(-12, -2)
(-1, 7)
(-3, 7)
(-15, 13)
(8, -12)
(16, -12)
(-11, 5)
(2, -4)
(-1, 1)
(1, -7)
(0, 0)
(15, 1)
(11, 5)
(-2, -2)
(3, -7)
(3, -1)
(11, -7)
(6, 16)
(-12, -10)
(-9, -9)
(-6, 12)
(-11, 1)
(14, -10)
(-13, 5)
(1, 13)
(4, 6)
(10, -6)
(-3, -5)
(-10, 2)
(-13, -3)
(-13, -1)
(4, -12)
(-4, 10)
(5, 9)
(5, -7)
(-8, -2)
(8, -16)
(-6, -10)
(8, 2)
(4, 0)
(5, 1)
(2, -6)
(-2, 4)
(-12, 0)
(-17, 5)
(-1, -7)
(6, 10)
(10, -8)
(3, -5)
(13, -9)
(-3, -23)
(8, -2)
(7, 5)
(-13, -13)
(-12, 2)
(-3, -1)
(-13, 1)
(4, 10)
